Date,Ticker,ClosePrice
2024-01-03,FINCORP,84.6
2024-01-05,INSURCO,70.4
2024-01-03,INSURCO,72.1
2024-01-03,INSURCO,83.2
2024-01-04,FINCORP,93.5
2024-01-05,INSURCO,54.4
2024-01-05,INSURCO,77.9
2024-01-02,FINCORP,81.4
2024-01-05,FINCORP,103.4
2024-01-04,INSURCO,49.8
2024-01-03,INSURCO,49.8
2024-01-05,INSURCO,95.6
2024-01-05,INSURCO,49.8
2024-01-05,FINCORP,55.2
2024-01-02,FINCORP,63.8
2024-01-05,INSURCO,64.8
2024-01-03,INSURCO,52.8
2024-01-05,FINCORP,66.9
2024-01-02,INSURCO,52.7
2024-01-02,FINCORP,97.4
